listing_id,has_availability,availability_30,availability_60,availability_90,availability_365
2273498,TRUE,14,40,61,313
2426296,FALSE,0,0,0,0
1698089,TRUE,0,4,34,309
2426713,FALSE,0,0,0,0
2426905,TRUE,27,57,81,341
2277691,TRUE,30,60,90,365
1699415,TRUE,0,10,33,105
2431123,TRUE,30,60,90,365
1703216,TRUE,29,59,89,340
2432292,TRUE,30,60,90,358
2282208,TRUE,0,0,0,0
1704436,TRUE,19,44,64,140
2292322,TRUE,20,46,76,154
2292679,TRUE,0,0,0,0
2435143,FALSE,0,0,0,0
1704832,TRUE,29,59,89,364
2436403,TRUE,0,0,0,0
1706466,TRUE,0,9,39,136
2436752,TRUE,0,0,0,0
2299148,TRUE,0,0,28,303
2303288,TRUE,0,0,0,0
2304794,FALSE,0,0,0,0
1712329,FALSE,0,0,0,0
1717090,TRUE,0,0,7,282
2310024,TRUE,0,0,0,0
2440938,FALSE,0,0,0,0
1720604,TRUE,5,5,5,5
2442377,TRUE,0,1,15,15
2310634,TRUE,0,0,0,0
2311118,TRUE,0,0,0,0
1725159,TRUE,28,58,88,363
2318061,FALSE,0,0,0,0
1725964,TRUE,0,0,0,0
2318394,TRUE,13,13,13,13
2446783,TRUE,5,5,5,90
1727257,TRUE,29,59,89,346
2447244,TRUE,29,59,89,364
2650844,TRUE,30,60,90,180
2452800,TRUE,11,39,59,146
2322667,TRUE,23,53,83,358
2657000,TRUE,0,0,0,63
2326028,FALSE,0,0,0,0
2453663,TRUE,0,0,0,0
2665394,TRUE,0,0,0,0
2332927,FALSE,0,0,0,0
2677765,TRUE,18,48,78,149
2336368,TRUE,11,11,11,11
2453713,TRUE,0,0,0,0
2686649,TRUE,0,0,0,0
2454131,FALSE,0,0,0,0
2336937,TRUE,29,59,89,89
2710898,TRUE,30,60,90,267
2337430,FALSE,0,0,0,0
2454882,FALSE,0,0,0,0
2723009,FALSE,0,0,0,0
2457749,TRUE,30,60,90,365
2746300,TRUE,1,1,1,1
2459312,FALSE,0,0,0,0
2460804,FALSE,0,0,0,0
2338993,TRUE,0,0,0,0
2746832,TRUE,11,41,71,138
2339860,FALSE,0,0,0,0
2461046,TRUE,0,0,0,0
2832008,TRUE,19,49,75,290
2461349,TRUE,0,0,0,0
2461909,TRUE,0,0,0,0
4037944,TRUE,0,0,0,0
4047192,TRUE,23,53,83,295
2832087,TRUE,10,12,12,142
2464759,TRUE,0,2,32,201
2853144,TRUE,3,33,63,63
2466535,TRUE,0,0,0,0
4047344,TRUE,29,43,55,306
2855422,TRUE,30,60,90,168
4047528,TRUE,24,44,64,293
